,0
585,558244
586,1865970
587,1465070
588,1147010
589,362890
590,1003590
591,1985790
592,387990
593,1386610
594,238320
595,1299591
596,895870
597,1386611
598,1455840
599,629820
600,774361
601,798460
602,690790
603,1032670
604,925580
605,1605220
606,322170
607,1086940
608,1325200
609,614580
610,617290
611,42680
612,369150
613,997070
614,1882470
615,429050
616,1336321
617,227310
618,56400
619,203160
620,12210
621,870780
622,677160
623,1557210
624,438740
625,530760
626,531510
627,955740
628,694280
629,1390150
630,48700
631,570940
632,1488200
633,612880
634,1681970
635,826630
636,1102190
637,1566390
638,206440
639,1238060
640,638230
641,1150190
642,1368910
643,1580050
644,500
645,1259980
646,899770
647,1066890
648,1579380
649,266410
650,967050
651,1556110
652,531130
653,628070
654,1947012
655,1235743
656,702320
657,635260
658,589360
659,1194630
660,1097350
661,580100
662,1343670
663,269950
664,774861
665,375530
666,1217390
667,1243830
668,1154760
669,942290
670,1472190
671,311260
672,1320770
673,1031510
674,1726150
675,1301020
676,374320
677,414700
678,690830
679,1914970
680,1062160
681,400750
682,1054490
683,366250
684,1379750
685,1287840
686,683320
687,1458151
688,1388880
689,641990
690,601430
691,1590320
692,835670
693,965580
694,368340
695,1158100
696,12210
697,1307550
698,504230
699,555950
700,751440
701,784080
702,1238820
703,617870
704,1045980
705,1213210
706,1031500
707,622220
708,939850
709,"292030,378649,378648"
710,911400
711,228200
712,1368572
713,211820
714,824270
715,1105510
716,470310
717,10090
718,823500
719,1188930
720,1389240
721,692850
722,1042550
723,979690
724,1563180
725,10180
726,1271700
727,736260
728,1622100
729,844810
730,579180
731,1341520
732,1118012
733,1296840
734,392110
735,204360
736,218230
737,378860
738,418030
739,1216320
740,238090
741,495160
742,1883260
743,594330
744,373420
745,1105500
746,592374
747,919640
748,666150
749,1634040
750,420530
751,601050
752,221040
753,1235746
754,523000
755,1090850
756,1271670
757,751630
758,1097580
759,640820
760,1591420
761,252530
762,1901370
763,1493250
764,205100
765,1611600
766,1088710
767,1235745
768,517630
769,960990
770,1063730
771,613830
772,1457510
773,1758560
774,307110
775,815460
776,1372110
777,747200
778,1272320
779,1434950
780,1602010
781,939960
782,475150
783,674940
784,1128920
785,1415692
786,1406990
787,1580240
788,715191
789,431240
790,1413480
791,1843010
792,1735680
793,501300
794,236870
795,821880
796,1372810
797,327030
798,853360
799,1009290
800,251060
801,1292630
802,1227280
803,1922560
804,502800
805,878465
806,1685750
807,1139980
808,225540
809,1066780
810,19680
811,333600
812,489630
813,960910
814,582550
815,1937520
816,1615290
817,1410640
818,1802720
819,944071
820,1105670
821,410340
822,365960
823,1732190
824,1747960
825,936790
826,690640
827,493490
828,1127500
829,1126050
830,1315750
831,1433560
832,1169040
833,1451460
834,858210
835,584140
836,1658290
837,1096900
838,1692070
839,976590
840,1361320
841,593600
842,1823802
843,1222730
844,1182620
845,1754000
846,1670430
847,47780
848,1569090
849,1933740
850,831560
851,313120
852,1570010
853,1286350
854,1012790
855,445980
856,617830
857,763890
858,593380
859,395180
860,220240
861,1471590
862,24010
863,546050
864,1291010
865,602520
866,201870
867,636480
868,843380
869,1450080
870,1865950
871,359510
872,1336322
873,916840
874,747660
875,1108370
876,1634150
877,626690
878,1118200
879,985890
880,1827180
881,312520
882,897450
883,1361280
884,285330
885,1025250
886,17390
887,1289451
888,996770
889,1283410
890,1172450
891,291480
892,924980
893,352720
894,1647620
895,631510
896,311560
897,1235722
898,858260
899,512900
900,1562420
901,645401
902,728740
903,304430
904,985830
905,824550
906,601840
907,221680
908,1361210
909,534331
910,1478810
911,"872410,1427650,1198833"
912,1225570
913,1786790
914,466130
915,22370
916,1948850
917,245170
918,1361000
919,1342260
920,978520
921,915810
922,286690
923,247080
924,4500
925,1140000
926,506500
927,404012
928,851890
929,1843410
930,584400
931,1689910
932,200510
933,742300
934,899440
935,1206200
936,329050
937,814370
938,1710240
939,718670
940,1899750
941,756010
942,696170
943,1316840
944,1457520
945,864700
946,443110
947,987840
948,47810
949,1668690
950,1738337
