,0
585,1012880
586,690790
587,1465070
588,925580
589,238320
590,1147010
591,1003590
592,1985790
593,774361
594,362890
595,1386610
596,1299591
597,895870
598,1386611
599,1455840
600,629820
601,798460
602,1032670
603,1086940
604,997070
605,558244
606,1325200
607,322170
608,614580
609,227310
610,694280
611,42680
612,369150
613,1882470
614,429050
615,1336321
616,56400
617,203160
618,438740
619,1605220
620,612880
621,677160
622,1488200
623,12210
624,48700
625,530760
626,314650
627,870780
628,531510
629,1557210
630,1217390
631,955740
632,1066890
633,1657120
634,1390150
635,1681970
636,570940
637,826630
638,1566390
639,206440
640,1194630
641,638230
642,1238060
643,1150190
644,1368910
645,635260
646,1580050
647,899770
648,500
649,1102190
650,266410
651,269950
652,1947012
653,1579380
654,531130
655,967050
656,1556110
657,1301020
658,628070
659,1235743
660,702320
661,774861
662,589360
663,1343670
664,1726150
665,1097350
666,784080
667,580100
668,414700
669,375530
670,1243830
671,1154760
672,942290
673,690830
674,1472190
675,400750
676,1320770
677,1031510
678,1062160
679,1054490
680,366250
681,617290
682,1259980
683,1379750
684,1287840
685,683320
686,1914970
687,1458151
688,641990
689,601430
690,1388880
691,1307550
692,1590320
693,835670
694,504230
695,368340
696,965580
697,1158100
698,12210
699,204360
700,555950
701,751440
702,1883260
703,1188930
704,1238820
705,617870
706,1045980
707,1213210
708,939850
709,622220
710,911400
711,228200
712,823500
713,"292030,378649,378648"
714,1368572
715,211820
716,824270
717,1105510
718,10090
719,692850
720,1042550
721,10180
722,1271700
723,736260
724,1622100
725,844810
726,470310
727,579180
728,1341520
729,979690
730,1389240
731,1118012
732,1296840
733,1031500
734,392110
735,218230
736,378860
737,418030
738,1216320
739,238090
740,594330
741,373420
742,1105500
743,592374
744,747200
745,919640
746,601050
747,666150
748,1634040
749,420530
750,495160
751,1235746
752,523000
753,1271670
754,252530
755,1563180
756,221040
757,751630
758,1097580
759,640820
760,1591420
761,1493250
762,205100
763,1901370
764,1090850
765,960990
766,1088710
767,1611600
768,1235745
769,1063730
770,517630
771,431240
772,1413480
773,1758560
774,1457510
775,1272320
776,307110
777,815460
778,1372110
779,1434950
780,1009290
781,1602010
782,939960
783,674940
784,1128920
785,1415692
786,1406990
787,613830
788,715191
789,1843010
790,1735680
791,501300
792,236870
793,821880
794,19680
795,327030
796,853360
797,251060
798,1922560
799,1292630
800,1066780
801,1227280
802,960910
803,502800
804,878465
805,1139980
806,225540
807,1685750
808,333600
809,1410640
810,489630
811,582550
812,1937520
813,1615290
814,1802720
815,944071
816,1732190
817,1105670
818,410340
819,858210
820,365960
821,936790
822,"872410,1427650,1198833"
823,475150
824,1747960
825,690640
826,1127500
827,1126050
828,1315750
829,976590
830,1670430
831,1361210
832,1433560
833,1451460
834,584140
835,1096900
836,1182620
837,1658290
838,493490
839,1754000
840,1692070
841,593600
842,1823802
843,1222730
844,1361320
845,1933740
846,311260
847,47780
848,1569090
849,1580240
850,831560
851,313120
852,1570010
853,763890
854,1286350
855,1012790
856,445980
857,617830
858,1372810
859,593380
860,395180
861,985890
862,220240
863,1471590
864,546050
865,1291010
866,602520
867,1118200
868,201870
869,747660
870,636480
871,843380
872,1450080
873,1865950
874,359510
875,916840
876,1336322
877,1169040
878,1172450
879,1108370
880,1634150
881,626690
882,1827180
883,312520
884,897450
885,1361280
886,285330
887,1025250
888,1289451
889,924980
890,996770
891,1283410
892,17390
893,352720
894,1647620
895,506500
896,631510
897,311560
898,1235722
899,601840
900,858260
901,512900
902,1562420
903,645401
904,728740
905,824550
906,304430
907,985830
908,221680
909,534331
910,1786790
911,1478810
912,1225570
913,466130
914,22370
915,1948850
916,1361000
917,1342260
918,978520
919,915810
920,286690
921,247080
922,4500
923,1140000
924,404012
925,851890
926,1843410
927,584400
928,1689910
929,742300
930,899440
931,1206200
932,329050
933,17470
934,814370
935,1710240
936,718670
937,1899750
938,1668690
939,756010
940,696170
941,1316840
942,1457520
943,987840
944,864700
945,443110
946,47810
947,1353060
948,200510
949,1738337
950,569480
951,1306630
952,201810
953,704270
954,1094520
955,982290
956,374190
957,718850
958,209000
959,712640
960,1235740
961,1738232
962,597170
963,1911390
964,291480
965,819030
966,913740
967,557600
968,483840
969,1254120
970,382310
971,953490
972,1209120
973,1173810
974,1562940
975,1155980
976,243470
977,1449200
978,1745400
979,598190
980,359320
981,735730
982,960690
983,595520
984,1462810
985,1458100
986,250180
987,1456820
988,252110
989,1163550
990,411893
991,380600
992,307960
993,24010
994,287390
995,834910
996,1295500
997,803600
998,893720
999,418240
1000,1282210
1001,1236500
1002,1546670
1003,1960782
1004,712100
1005,928960
1006,1041320
1007,1940752
1008,1612780
1009,965220
1010,1161580
1011,1289453
1012,1837750
1013,"363150,506800"
1014,420110
1015,1325860
1016,48190
1017,374040
1018,1368820
1019,307690
1020,597820
1021,1260520
1022,760160
1023,1738318
1024,384180
1025,1337860
1026,1328660
1027,1173800
1028,3590
1029,1776430
1030,1229490
1031,589290
1032,1090150
1033,1303184
1034,1367550
1035,245170
1036,238460
1037,1195290
1038,1204130
1039,1738291
1040,1211020
1041,39140
1042,1520620
1043,21690
1044,1967640
1045,1293820
1046,95400
1047,20920
1048,33230
1049,1726190
1050,848350
1051,515191
1052,1074320
1053,1348660
1054,503940
1055,889510
1056,1226510
1057,227940
1058,609320
1059,1472191
1060,1173790
1061,800270
1062,386360
1063,1307710
1064,436670
1065,22330
1066,324160
1067,990630
1068,498870
1069,1515950
1070,1125020
1071,1567110
1072,1804690
1073,1040230
1074,1209470
1075,450540
1076,429660
1077,788100
1078,287290
1079,973580
1080,704850
1081,1009560
1082,2058650
1083,1940751
1084,209650
1085,"377160,435870,435880,435881,480630,480631,490650"
1086,779880
1087,289130
1088,606150
1089,761830
1090,1209471
1091,911430
1092,22330
1093,875210
1094,571740
1095,1166860
1096,793460
1097,1266840
1098,1034860
1099,861540
1100,746850
1101,246620
1102,1911520
1103,1163590
1104,1726382
1105,350080
1106,214490
1107,1708680
1108,254700
1109,629760
1110,4570
1111,1342330
1112,481510
1113,658850
1114,1359090
1115,607080
1116,1214810
1117,1174370
1118,1089980
1119,1852255
1120,1127400
1121,858810
1122,1613283
1123,"379430,768530,836900,883150,921950,977420,1033890"
1124,787860
1125,1701060
1126,210970
1127,1461920
1128,1218210
1129,1539620
1130,1726381
1131,469600
1132,738540
1133,1463090
1134,573090
1135,1158180
1136,"872410,1427650"
1137,1151450
1138,994730
1139,251290
1140,1298140
1141,979110
1142,304214
1143,1068820
1144,242920
1145,1335560
1146,330390
1147,1235766
1148,638990
1149,4700
1150,1056960
1151,1017900
1152,1947011
1153,1670540
1154,1144400
1155,657200
1156,1960780
1157,1437000
1158,384190
1159,1135230
1160,282800
1161,1238760
1162,597760
1163,1345820
1164,1519350
1165,448510
1166,1553061
1167,1581451
1168,234140
1169,702540
1170,1847240
1171,212680
1172,502520
1173,1960781
1174,1883650
1175,1658720
1176,624270
1177,468920
1178,290340
1179,1104330
1180,939600
1181,203770
1182,235580
1183,1149620
1184,1803960
1185,7940
1186,1504500
1187,1985930
1188,1201360
1189,420610
1190,222940
1191,1426450
1192,2024230
1193,1021790
1194,1341702
1195,1677740
1196,1042490
1197,961930
1198,1272160
1199,1622940
1200,265930
1201,1119730
1202,674140
1203,1076200
1204,1153640
1205,240
1206,1235761
1207,1913490
1208,1584090
1209,527430
1210,1826960
1211,1454160
1212,1282690
1213,249320
1214,1651960
1215,1741470
1216,282140
1217,1238762
1218,337340
1219,1349400
1220,1067690
1221,1547890
1222,1093700
1223,648100
1224,909720
1225,885810
1226,488310
1227,16870
1228,34030
1229,917720
1230,512034
1231,1986060
1232,743890
1233,2054412
1234,1798002
1235,520440
1236,637090
1237,1060220
1238,724250
1239,1723950
1240,1450090
1241,332950
1242,1809490
1243,607890
1244,228280
1245,1702330
1246,627690
1247,1151700
1248,345800
1249,1921780
1250,456750
1251,1976460
1252,456670
1253,1493170
1254,536270
1255,322500
1256,488790
1257,1704460
1258,1745440
1259,885970
1260,220
1261,332570
1262,1414180
1263,684450
1264,804760
1265,1578950
1266,1137460
1267,688420
1268,221910
1269,229480
1270,673880
1271,1097200
1272,1140620
1273,995460
1274,359840
1275,55150
1276,1352080
1277,494840
1278,1173770
1279,1238761
1280,1106840
1281,790740
1282,1446360
1283,1450120
1284,1701720
1285,530711
1286,1281330
1287,265550
1288,460790
1289,1608440
1290,849260
1291,1476970
1292,592373
1293,70
1294,1836860
1295,866800
1296,807120
1297,1105420
1298,1372280
1299,1335830
1300,488860
1301,207610
1302,388470
1303,412830
1304,999020
1305,1850550
1306,850320
1307,1386616
1308,1380420
1309,496240
1310,470220
1311,1359320
1312,1840320
1313,1162601
1314,1481080
1315,1738208
1316,1120320
1317,427730
1318,690510
1319,1337010
1320,400910
1321,1552550
1322,647830
1323,1404210
1324,1817370
1325,893180
1326,948740
1327,1424330
1328,1123450
1329,1097840
1330,745920
1331,916000
1332,515180
1333,1534980
1334,1123770
1335,1069650
1336,1517340
1337,1628070
1338,1324970
1339,1018800
1340,1936230
1341,1918520
1342,743900
1343,695680
1344,9900
1345,1233880
1346,455040
1347,1555400
1348,1331220
1349,1948120
1350,532210
1351,977880
1352,411890
1353,1238040
1354,481090
1355,790820
1356,938560
1357,963930
1358,302670
1359,1804460
1360,1196770
1361,581450
1362,952040
1363,1072040
1364,896000
1365,1283090
1366,1230140
1367,1318690
1368,969990
1369,639490
1370,1239320
1371,251150
1372,406550
1373,1281630
1374,466630
1375,209160
1376,1135300
1377,625960
1378,1578650
1379,274170
1380,1167450
1381,1926200
1382,1421790
1383,303310
1384,975680
1385,285190
1386,1819410
1387,1472560
1388,393010
1389,801860
1390,586200
1391,686200
1392,1305420
1393,347990
1394,485510
1395,630940
1396,1694600
1397,1036890
1398,1687550
1399,404014
1400,1072190
1401,1267910
1402,1764390
1403,1632320
1404,314160
1405,339340
1406,10
1407,1361620
1408,423580
1409,337000
1410,404013
1411,878463
1412,1428100
1413,342180
1414,283640
1415,2000380
1416,460920
1417,1490610
1418,1358140
1419,10150
1420,1760030
1421,825630
1422,323220
1423,1359980
1424,1252750
1425,1472192
1426,1206610
1427,1858303
1428,41700
1429,1215390
1430,1102310
1431,10500
1432,1389990
1433,1756130
1434,973760
1435,1262580
1436,799200
1437,1055540
1438,955900
1439,1283091
1440,244450
1441,1227700
1442,"1090150,1090200,1314563"
1443,1179710
1444,17480
1445,544810
1446,22320
1447,1291340
1448,768520
1449,1282550
1450,250760
1451,261640
1452,1419160
1453,1454400
1454,1138850
1455,851100
1456,557340
1457,1238000
1458,1288460
1459,1392960
1460,1763310
1461,404430
1462,423630
1463,435400
1464,1732330
1465,1648880
1466,"35140,200260,208650,367480"
1467,675590
1468,1356222
1469,"489830,1746860"
1470,1581450
1471,236110
1472,234670
1473,1151050
1474,1640650
1475,1238440
1476,493190
1477,1859370
1478,1557310
1479,1694800
1480,274940
1481,986850
1482,268050
1483,2013950
1484,755500
1485,983970
1486,1303950
1487,1000360
1488,785300
1489,590380
1490,1599190
1491,1262560
1492,1543030
1493,1015160
1494,425220
1495,1622941
1496,1227530
1497,1307580
1498,1079800
1499,675010
1500,573100
1501,900040
1502,"239140,335810,325724,435111,325723,347090"
1503,1104380
1504,1235744
1505,1569630
1506,800370
1507,952860
1508,1773801
1509,1178830
1510,1302240
1511,1088790
1512,1645220
1513,878462
1514,524910
1515,646270
1516,977610
1517,1016800
1518,1799930
1519,405310
1520,1593330
1521,543870
1522,414340
1523,1265920
1524,611790
1525,1370050
1526,560130
1527,281610
1528,228380
1529,516750
1530,1650120
1531,1568690
1532,383120
1533,1881200
1534,537110
1535,1092880
1536,965230
1537,803050
1538,1316550
1539,648580
1540,220700
1541,1303183
1542,1223870
1543,1475460
1544,287980
1545,235600
1546,1683100
1547,505230
1548,783770
1549,1104880
1550,1173780
1551,480490
1552,1797973
1553,1238070
1554,1947010
1555,42960
1556,257350
1557,1682970
1558,1648531
1559,477740
1560,1466640
1561,919360
1562,16867
1563,1491710
1564,257420
1565,1531470
1566,204100
1567,1262240
1568,1042380
1569,1613285
1570,50130
1571,1713810
1572,1121560
1573,505460
1574,1451480
1575,971790
1576,512035
1577,1047440
1578,1242980
1579,1544360
1580,525510
1581,897220
1582,293760
1583,366260
1584,1203140
1585,699170
1586,1679700
1587,587430
1588,1708020
1589,1203630
1590,1947130
1591,895400
1592,404010
1593,1579991
1594,1069660
1595,1423600
1596,677120
1597,1859360
1598,582600
1599,1100250
1600,463530
1601,1277930
1602,304930
1603,483980
1604,1517030
1605,388475
1606,383150
1607,1579992
1608,250300
1609,1887030
1610,377840
1611,872200
1612,274520
1613,1967320
1614,1788370
1615,809140
1616,311310
